radius_pc,gamma_seg,temperature_K,velocity_excess_km_s,frequency_ratio
4.204609,0.999104,239.784928,0.008969,0.999104
4.214429,0.999124,239.789797,0.008766,0.999124
4.224248,0.999144,239.794567,0.008567,0.999144
4.234068,0.999163,239.799240,0.008372,0.999163
4.243888,0.999183,239.803817,0.008181,0.999183
4.253707,0.999201,239.808299,0.007994,0.999201
4.263527,0.999220,239.812690,0.007811,0.999220
4.273347,0.999237,239.816989,0.007631,0.999237
4.283166,0.999255,239.821199,0.007456,0.999255
4.292986,0.999272,239.825322,0.007284,0.999272
4.302806,0.999289,239.829359,0.007115,0.999289
4.312625,0.999305,239.833312,0.006950,0.999305
4.322445,0.999322,239.837181,0.006789,0.999322
4.332265,0.999337,239.840970,0.006631,0.999337
4.342084,0.999353,239.844678,0.006476,0.999353
4.351904,0.999368,239.848308,0.006324,0.999368
4.361723,0.999383,239.851861,0.006176,0.999383
4.371543,0.999397,239.855339,0.006031,0.999397
4.381363,0.999411,239.858742,0.005889,0.999411
4.391182,0.999425,239.862073,0.005750,0.999425
4.401002,0.999439,239.865333,0.005614,0.999439
4.410822,0.999452,239.868522,0.005481,0.999452
4.420641,0.999465,239.871643,0.005351,0.999465
4.430461,0.999478,239.874696,0.005224,0.999478
4.440281,0.999490,239.877684,0.005099,0.999490
4.450100,0.999503,239.880606,0.004977,0.999503
4.459920,0.999514,239.883465,0.004858,0.999514
4.469739,0.999526,239.886262,0.004741,0.999526
4.479559,0.999537,239.888997,0.004627,0.999537
4.489379,0.999549,239.891672,0.004516,0.999549
4.499198,0.999560,239.894289,0.004407,0.999560
4.509018,0.999570,239.896848,0.004300,0.999570
4.518838,0.999581,239.899350,0.004196,0.999581
4.528657,0.999591,239.901797,0.004093,0.999591
4.538477,0.999601,239.904189,0.003994,0.999601
4.548297,0.999611,239.906528,0.003896,0.999611
4.558116,0.999620,239.908815,0.003801,0.999620
4.567936,0.999629,239.911051,0.003708,0.999629
4.577756,0.999638,239.913236,0.003616,0.999638
4.587575,0.999647,239.915373,0.003527,0.999647
4.597395,0.999656,239.917461,0.003440,0.999656
4.607214,0.999665,239.919502,0.003355,0.999665
